DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
,,,,RP1-198K11.5,,EEF1A1P11
,,,,IGKV6D-21,,RP11-383G6.3
,,,,RP4-687K1.2,,CTC-378H22.1
,,,,,,RP11-14I17.2
,,,,,,RP11-346C20.3
,,,,,,FOSB
,,,,,,RNU6-407P
,,,,,,COX6C
,,,,,,PTX3
,,,,,,RP11-366L5.1
,,,,,,WBSCR27
,,,,,,AF129075.5
,,,,,,RPL37P6
,,,,,,RP11-547D13.1
,,,,,,RP11-686D22.5
,,,,,,FAXDC2
,,,,,,RNU6-611P
,,,,,,LRRC43
,,,,,,RPL21P28
,,,,,,CD69
,,,,,,RHOA-IT1
,,,,,,RP11-670E13.6
,,,,,,RP11-244J10.1
,,,,,,BCL2L15
,,,,,,TAGLN2P1
,,,,,,PIPSL
